filename,target,fold,trio_index
pattern_sounds/pattern_01/pattern_01_08.wav,pattern_01,1,0
pattern_sounds/pattern_01/pattern_01_02.wav,pattern_01,1,0
pattern_sounds/pattern_01/pattern_01_18.wav,pattern_01,1,0
pattern_sounds/pattern_01/pattern_01_16.wav,pattern_01,1,0
pattern_sounds/pattern_01/pattern_01_15.wav,pattern_01,2,0
pattern_sounds/pattern_01/pattern_01_09.wav,pattern_01,2,0
pattern_sounds/pattern_01/pattern_01_07.wav,pattern_01,2,0
pattern_sounds/pattern_01/pattern_01_06.wav,pattern_01,2,0
pattern_sounds/pattern_01/pattern_01_28.wav,pattern_01,3,0
pattern_sounds/pattern_01/pattern_01_39.wav,pattern_01,3,0
pattern_sounds/pattern_01/pattern_01_01.wav,pattern_01,3,0
pattern_sounds/pattern_01/pattern_01_03.wav,pattern_01,3,0
pattern_sounds/pattern_01/pattern_01_34.wav,pattern_01,4,0
pattern_sounds/pattern_01/pattern_01_40.wav,pattern_01,4,0
pattern_sounds/pattern_01/pattern_01_17.wav,pattern_01,4,0
pattern_sounds/pattern_01/pattern_01_20.wav,pattern_01,4,0
pattern_sounds/pattern_01/pattern_01_30.wav,pattern_01,5,0
pattern_sounds/pattern_01/pattern_01_38.wav,pattern_01,5,0
pattern_sounds/pattern_01/pattern_01_32.wav,pattern_01,5,0
pattern_sounds/pattern_01/pattern_01_21.wav,pattern_01,5,0
pattern_sounds/pattern_01/pattern_01_23.wav,pattern_01,6,0
pattern_sounds/pattern_01/pattern_01_14.wav,pattern_01,6,0
pattern_sounds/pattern_01/pattern_01_27.wav,pattern_01,6,0
pattern_sounds/pattern_01/pattern_01_36.wav,pattern_01,6,0
pattern_sounds/pattern_01/pattern_01_35.wav,pattern_01,7,0
pattern_sounds/pattern_01/pattern_01_13.wav,pattern_01,7,0
pattern_sounds/pattern_01/pattern_01_19.wav,pattern_01,7,0
pattern_sounds/pattern_01/pattern_01_24.wav,pattern_01,7,0
pattern_sounds/pattern_01/pattern_01_29.wav,pattern_01,8,0
